name,degree,address,tel
코엑스,4.2,서울 강남구 영동대로 513 무역센터코엑스 4층,02-6000-0114
SETEC,3.0,서울 강남구 남부순환로 3104,02-2187-4600
코엑스 아쿠아리움,4.0,서울 강남구 삼성동 159 지하 1층,02-700-7200
마이아트뮤지엄,4.2,서울 강남구 테헤란로 518 섬유센터빌딩 지하 1층,02-567-8878
별마당도서관,4.2,"서울 강남구 삼성동 159-9 스타필드 코엑스몰 지하1층, 1층",02-6002-3031
코엑스 C홀,4.5,서울 강남구 영동대로 513 본관 3층,02-6000-0114
K현대미술관,2.1,서울 강남구 선릉로 807,02-2138-0952
백암아트홀,4.2,서울 강남구 테헤란로113길 7 본관 지하2층,02-559-1333
코엑스 A홀,5.0,서울 강남구 영동대로 513 1층,02-6000-0114
코엑스 D홀,4.6,서울 강남구 영동대로 513 3층,02-6000-0114
광림아트센터 BBCH홀,2.5,서울 강남구 논현로163길 33 광림사회봉사관 7층,02-2056-5787
코엑스신한카드아티움,2.6,서울 강남구 영동대로 513,1661-5628
현대모터스튜디오 서울,4.8,서울 강남구 언주로 738,1899-6611
식물관PH,3.1,서울 강남구 광평로34길 24 1층,02-445-0405
코엑스 B홀,4.9,서울 강남구 영동대로 513 신관1층,02-6000-0114
일지아트홀,,서울 강남구 선릉로 806 지하2층,02-2016-3355
KT&G 상상마당 대치아트홀,4.5,서울 강남구 영동대로 416 KT&G타워 3층,02-3404-4311
성암아트센터,4.3,서울 강남구 선릉로111길 6,02-543-0826
송은,3.8,서울 강남구 도산대로 441,02-3448-0100
예림당아트홀,0.0,서울 강남구 언주로 337 2층,
일상비일상의틈,4.1,"서울 강남구 강남대로 426 지하1층, 1~5층",070-4090-8005
더샵갤러리,4.3,서울 강남구 자곡로 210,1577-8674
국립어린이청소년도서관,4.3,서울 강남구 테헤란로7길 21,02-3413-4800
도곡정보문화도서관,5.0,서울 강남구 도곡로18길 57,1644-3227
광림아트센터,1.8,서울 강남구 논현로163길 33,02-2056-5787
파르나스몰,2.3,서울 강남구 테헤란로 521 그랜드인터컨티넨탈 지하 1층,02-559-7089
SJ쿤스트할레,5.0,서울 강남구 언주로148길 5,010-2014-9722
호림아트센터,4.0,서울 강남구 도산대로 317,02-541-3540
스페이스쉐어 삼성코엑스센터,0.0,서울 강남구 영동대로96길 20 대화빌딩 지하1층,010-7367-2707
메종 에르메스 도산파크,2.7,서울 강남구 도산대로45길 7,02-542-6622
윤당아트홀,3.0,서울 강남구 언주로 844 윤당빌딩 지하1층,02-3446-9795
서울특별시교육청 개포도서관,4.7,서울 강남구 선릉로4길 30,02-3460-8200
코엑스 컨퍼런스룸,5.0,"서울 강남구 영동대로 513 코엑스 3,4층",
광림아트센터 장천홀,3.5,"서울 강남구 압구정로22길 21 지하2층,지하1층,1층",02-2056-5787
코엑스 오디토리움,4.0,서울 강남구 영동대로 513 신관3층,02-6000-0114
서울특별시교육청 강남도서관,3.7,서울 강남구 선릉로116길 45,02-3448-4741
신한아트홀,5.0,서울 강남구 역삼로 251,02-2151-7699
